"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
1,1,1,0.023549144,0.443010881,0.306275902,"Centre-Nord",1
1,1,1,0.037889615,0.484381423,0.37369025,"Centre-Nord",2
1,1,1,0.042591808,0.542451344,0.428877744,"Centre-Nord",3
1,1,1,0.063609057,0.523913722,0.405609842,"Centre-Nord",4
0,0,0,0.149347384,0.747479427,0.566070743,"Plateau Central",0
0,0,0,0.239452315,0.749525574,0.588834108,"Plateau Central",1
0,0,0,0.208822103,0.776013365,0.658951584,"Plateau Central",2
0,0,0,0.236308161,0.803797211,0.702489839,"Plateau Central",3
0,0,0,0.317799696,0.7935008,0.691777167,"Plateau Central",4
1,0,0,0.141978764,0.678279306,0.527712428,"Plateau Central",0
1,0,0,0.231364779,0.682610702,0.551373389,"Plateau Central",1
1,0,0,0.204595212,0.718808657,0.622365054,"Plateau Central",2
1,0,0,0.233781164,0.753276496,0.668199308,"Plateau Central",3
1,0,0,0.313892685,0.73971387,0.656844541,"Plateau Central",4
0,1,0,0.16755221,0.734082524,0.555870899,"Plateau Central",0
0,1,0,0.261658517,0.735016865,0.58021191,"Plateau Central",1
0,1,0,0.235439246,0.764574603,0.650201313,"Plateau Central",2
0,1,0,0.265451253,0.793935329,0.694433311,"Plateau Central",3
0,1,0,0.347392315,0.782058293,0.683834133,"Plateau Central",4
1,1,0,0.161055148,0.663647522,0.517735736,"Plateau Central",0
1,1,0,0.254656438,0.666709616,0.541667902,"Plateau Central",1
1,1,0,0.231119889,0.706597036,0.613459267,"Plateau Central",2
1,1,0,0.262741666,0.742157337,0.659837326,"Plateau Central",3
1,1,0,0.344365467,0.727975033,0.648898428,"Plateau Central",4
0,0,1,0.077609209,0.638632787,0.334396071,"Plateau Central",0
0,0,1,0.124760759,0.634191476,0.357548654,"Plateau Central",1
0,0,1,0.106590124,0.654277337,0.426634488,"Plateau Central",2
0,0,1,0.122799346,0.689225167,0.475801169,"Plateau Central",3
0,0,1,0.167926883,0.672678389,0.463071996,"Plateau Central",4
1,0,1,0.069930964,0.539796543,0.298735052,"Plateau Central",0
1,0,1,0.114590156,0.538611113,0.321184905,"Plateau Central",1
1,0,1,0.100033558,0.569753927,0.389220885,"Plateau Central",2
1,0,1,0.11571515,0.60977423,0.437802106,"Plateau Central",3
1,0,1,0.159204333,0.591128457,0.424371494,"Plateau Central",4
0,1,1,0.086007968,0.619729306,0.325297454,"Plateau Central",0
0,1,1,0.136259687,0.612550828,0.348311832,"Plateau Central",1
0,1,1,0.119913259,0.638274914,0.418073056,"Plateau Central",2
0,1,1,0.137666576,0.673677702,0.467304931,"Plateau Central",3
0,1,1,0.183379272,0.655250792,0.454010034,"Plateau Central",4
1,1,1,0.078616637,0.519284479,0.290745625,"Plateau Central",0
1,1,1,0.126165399,0.515932594,0.312553986,"Plateau Central",1
1,1,1,0.112789548,0.553720174,0.38040211,"Plateau Central",2
1,1,1,0.131355379,0.594968186,0.428106616,"Plateau Central",3
1,1,1,0.174952005,0.573275363,0.415447082,"Plateau Central",4
0,0,0,0.173421606,0.792504684,0.720623012,"Centre-Sud",0
0,0,0,0.278081242,0.805836538,0.748984659,"Centre-Sud",1
0,0,0,0.291239277,0.842613458,0.805750549,"Centre-Sud",2
